iter	Passed	Remaining
671	66293	32357
672	66395	32260
673	66489	32159
674	66598	32065
675	66694	31966
676	66814	31877
677	66928	31786
678	67010	31679
679	67098	31575
680	67170	31464
681	67276	31369
682	67368	31267
683	67494	31181
684	67577	31075
685	67666	30972
686	67760	30871
687	67858	30772
688	67957	30674
689	68049	30572
690	68152	30476
691	68250	30377
692	68352	30280
693	68453	30182
694	68555	30085
695	68694	30004
696	68814	29915
697	68919	29818
698	69020	29721
699	69159	29639
700	69300	29558
701	69418	29468
702	69542	29379
703	69646	29282
704	69767	29193
705	69851	29088
706	69978	29000
707	70091	28907
708	70172	28801
709	70304	28716
710	70375	28605
711	70482	28509
712	70556	28400
713	70677	28310
714	70786	28215
715	70916	28128
716	71017	28030
717	71086	27919
718	71189	27822
719	71288	27723
720	71393	27626
721	71506	27532
722	71583	27425
723	71691	27329
724	71824	27243
725	71962	27159
726	72160	27097
727	72249	26994
728	72357	26898
729	72446	26795
730	72553	26698
731	72657	26601
732	72781	26511
733	72877	26410
734	72978	26311
735	73083	26214
736	73184	26116
737	73280	26015
738	73377	25915
739	73494	25822
740	73607	25727
741	73714	25631
742	73809	25530
743	73901	25428
744	74012	25333
745	74100	25229
746	74188	25126
747	74310	25034
748	74395	24930
749	74492	24830
750	74592	24731
751	74692	24632
752	74797	24535
753	74883	24431
754	75012	24341
755	75080	24232
756	75158	24126
757	75263	24028
758	75362	23929
759	75491	23839
760	75594	23741
761	75701	23644
762	75809	23547
763	75916	23450
764	76033	23356
765	76143	23260
766	76266	23168
767	76399	23078
768	76507	22981
769	76631	22889
770	76724	22788
771	76837	22692
772	76935	22592
773	77148	22526
774	77378	22464
775	77498	22370
776	77617	22276
777	77708	22173
778	77775	22064
779	77862	21961
780	77932	21853
781	78058	21760
782	78145	21657
783	78258	21560
784	78381	21467
785	78517	21377
786	78606	21274
787	78706	21174
788	78817	21077
789	78940	20984
790	79071	20892
791	79190	20797
792	79313	20703
793	79423	20606
794	79797	20576
795	79943	20487
796	80081	20397
797	80196	20300
798	80312	20203
799	80396	20099
800	80467	19991
801	80614	19902
802	80736	19807
803	80830	19704
804	80964	19612
805	81092	19518
806	81239	19429
807	81350	19330
808	81466	19233
809	81559	19131
810	81652	19028
811	81738	18924
812	81857	18828
813	81961	18728
814	82079	18631
815	82171	18528
816	82296	18433
817	82395	18332
818	82510	18235
819	82592	18130
820	82685	18027
821	82775	17924
822	82898	17828
823	82978	17723
824	83088	17624
825	83171	17520
826	83283	17422
827	83394	17323
828	83499	17223
829	83624	17127
830	83733	17028
831	83857	16932
832	83966	16833
833	84091	16737
834	84227	16643
835	84363	16549
836	84477	16451
837	84602	16355
838	84711	16255
839	84814	16155
840	84913	16053
841	85021	15954
842	85102	15849
843	85203	15748
844	85300	15646
845	85410	15547
846	85525	15449
847	85647	15351
848	85775	15255
849	85868	15153
850	85968	15052
851	86080	14952
852	86196	14854
853	86273	14749
854	86405	14653
855	86544	14558
856	86659	14460
857	86790	14363
858	86904	14264
859	86992	14161
860	87079	14058
861	87192	13958
862	87286	13856
863	87385	13755
864	87495	13655
865	87614	13556
866	87714	13455
867	87793	13351
868	87869	13246
869	87961	13143
870	88071	13043
871	88154	12940
872	88249	12838
873	88336	12734
874	88449	12635
875	88554	12535
876	88658	12434
877	88732	12329
878	88813	12225
879	88889	12121
880	88971	12017
881	89043	11912
882	89141	11811
883	89228	11708
884	89377	11614
885	89501	11516
886	89588	11413
887	89704	11314
888	89824	11215
889	89922	11114
890	90053	11016
891	90182	10918
892	90277	10817
893	90386	10717
894	90530	10620
895	90604	10516
896	90712	10416
897	90812	10315
898	90934	10216
899	91085	10120
900	91197	10020
901	91310	9920
902	91408	9819
903	91505	9717
904	91634	9619
905	91766	9521
906	91875	9420
907	92011	9322
908	92118	9221
909	92222	9120
910	92323	9019
911	92424	8918
912	92542	8818
913	92644	8717
914	92754	8616
915	92874	8516
916	92983	8416
917	93094	8315
918	93191	8213
919	93285	8111
920	93422	8013
921	93516	7911
922	93623	7810
923	93732	7709
924	93823	7607
925	93916	7505
926	94024	7404
927	94131	7303
928	94187	7198
929	94284	7096
930	94373	6994
931	94490	6894
932	94567	6791
933	94682	6690
934	94745	6586
935	94845	6485
936	94965	6385
937	95069	6283
938	95174	6182
939	95272	6081
940	95372	5979
941	95481	5878
942	95589	5777
943	95682	5676
944	95791	5575
945	95924	5475
946	96301	5389
947	96457	5290
948	96551	5188
949	96624	5085
950	96731	4984
951	96795	4880
952	96889	4778
953	96974	4675
954	97061	4573
955	97145	4471
956	97259	4370
957	97373	4268
958	97510	4168
959	97624	4067
960	97743	3966
961	97848	3865
962	97985	3764
963	98095	3663
964	98201	3561
965	98315	3460
966	98410	3358
967	98501	3256
968	98636	3155
969	98735	3053
970	98854	2952
971	98977	2851
972	99079	2749
973	99158	2646
974	99238	2544
975	99373	2443
976	99471	2341
977	99564	2239
978	99622	2136
979	99713	2034
980	99841	1933
981	99947	1832
982	100048	1730
983	100156	1628
984	100263	1526
985	100373	1425
986	100502	1323
987	100585	1221
988	100715	1120
989	100804	1018
990	100904	916
991	101069	815
992	101172	713
993	101291	611
994	101389	509
995	101805	408
996	101995	306
997	102184	204
998	102332	102
999	102543	0
