iter	R2	RMSE
157	0.5663503636	218848.9635
158	0.5664156415	218832.4911
159	0.5664912945	218813.399
160	0.566656046	218771.8159
161	0.5667883034	218738.4286
162	0.5668320734	218727.3781
163	0.567127503	218652.777
164	0.5672200125	218629.4116
165	0.5672988554	218609.4959
166	0.5674665149	218567.1393
167	0.5675438935	218547.588
168	0.5676118837	218530.4075
169	0.5677979036	218483.3949
170	0.5679783139	218437.7903
171	0.5680319634	218424.2268
172	0.5681015064	218406.644
173	0.5682232443	218375.861
174	0.5683295964	218348.9649
175	0.5683876577	218334.2801
176	0.5685551505	218291.9122
177	0.5686578497	218265.9301
178	0.5687019534	218254.7712
179	0.5688808025	218209.5139
180	0.5690096097	218176.9138
181	0.5691212908	218148.6443
182	0.5692749057	218109.7542
183	0.5695359552	218043.6493
184	0.5695700568	218035.0123
185	0.5696247269	218021.1653
186	0.5696804072	218007.0614
187	0.5697224669	217996.4071
188	0.5698396817	217966.7121
189	0.5699364774	217942.1871
190	0.5700126169	217922.8937
191	0.5701349018	217891.9038
192	0.5702903979	217852.4909
193	0.5703859609	217828.2655
194	0.5704183129	217820.0636
195	0.5705458117	217787.737
196	0.5706850412	217752.4306
197	0.5708858319	217701.5032
198	0.5709937357	217674.1302
199	0.5710534258	217658.9865
200	0.5711412683	217636.6986
201	0.5713660159	217579.6638
202	0.571564219	217529.3528
203	0.5716178794	217515.73
204	0.5717340052	217486.2459
205	0.5718848842	217447.9321
206	0.572038552	217408.9032
207	0.5721587651	217378.3663
208	0.5722652051	217351.3244
209	0.5723373805	217332.9859
210	0.5724792152	217296.9436
211	0.5725299886	217284.0398
212	0.5726742618	217247.3695
213	0.5727366337	217231.5144
214	0.5728348524	217206.5445
215	0.5729130618	217186.6595
216	0.5730831433	217143.4094
217	0.5732021304	217113.147
218	0.5733070484	217086.4593
219	0.5733486128	217075.8858
220	0.5734099885	217060.2716
221	0.5734907337	217039.7279
222	0.5735914359	217014.104
223	0.5736331548	217003.4877
224	0.5737063197	216984.8679
225	0.5737638082	216970.2365
226	0.5738662394	216944.1642
227	0.574003344	216909.2616
228	0.5740895528	216887.3125
229	0.5741283269	216877.4398
230	0.5742865926	216837.1372
231	0.5743891495	216811.0169
232	0.5744900221	216785.3226
233	0.5746604798	216741.8966
234	0.5747536129	216718.1662
235	0.5748449254	216694.8971
236	0.5749586471	216665.9141
237	0.5750708363	216637.3179
238	0.5751807964	216609.2861
239	0.5752702308	216586.4843
240	0.5753750229	216559.7638
241	0.5755735051	216509.1447
242	0.575653609	216488.7124
243	0.5757476307	216464.7275
244	0.5758556696	216437.1636
245	0.5758920747	216427.8748
246	0.5760032507	216399.5056
247	0.5761660027	216357.969
248	0.5762066427	216347.5958
249	0.5762935501	216325.4115
250	0.576337139	216314.2839
251	0.5764525617	216284.8156
252	0.5765417165	216262.0509
253	0.5766041102	216246.1179
254	0.5767171769	216217.242
255	0.576802332	216195.4919
256	0.5768577671	216181.3316
257	0.5769310978	216162.5986
258	0.5769946638	216146.3588
259	0.5770394697	216134.9111
260	0.577139323	216109.3968
261	0.5772962741	216069.287
262	0.5773979936	216043.2879
263	0.5774624999	216026.7988
264	0.5776261104	215984.971
265	0.5776803623	215971.0994
266	0.5778714443	215922.2349
267	0.5779338599	215906.2713
268	0.5780064726	215887.6981
269	0.5780888478	215866.6259
270	0.578205213	215836.8553
271	0.5782884332	215815.5619
272	0.5783090477	215810.287
273	0.5785167406	215757.1346
274	0.5785732348	215742.6745
275	0.5786694263	215718.0512
276	0.5787098054	215707.714
277	0.5788587281	215669.5852
278	0.5789890748	215636.2069
279	0.5790818039	215612.4583
280	0.579221803	215576.5985
281	0.5792497413	215569.4416
282	0.5793914357	215533.1403
283	0.5794581045	215516.058
284	0.5795164473	215501.108
285	0.5796577443	215464.897
286	0.5796968864	215454.8648
287	0.5798007911	215428.2314
288	0.5798861309	215406.3543
289	0.5799579667	215387.9372
290	0.5801042114	215350.4384
291	0.5802203018	215320.6669
292	0.5802692151	215308.1218
293	0.5803379969	215290.4797
294	0.5804096515	215272.0992
295	0.5804099661	215272.0185
296	0.5804700178	215256.6131
297	0.5805262313	215242.1913
298	0.5805898085	215225.8792
299	0.5806177229	215218.7167
300	0.5806865846	215201.0468
301	0.5807702078	215179.5871
302	0.5808523858	215158.4961
303	0.5808843014	215150.3045
304	0.580938872	215136.2973
305	0.5809748671	215127.0576
306	0.5811031735	215094.1188
307	0.58117054	215076.8225
308	0.5812038246	215068.2762
309	0.5812316562	215061.1298
310	0.5812673376	215051.9674
311	0.5813172211	215039.1575
312	0.5813460226	215031.761
313	0.5813490696	215030.9785
314	0.581451537	215004.6618
315	0.5814890933	214995.0154
316	0.5815603959	214976.7001
317	0.5815636185	214975.8723
318	0.5816507418	214953.4909
319	0.5817407406	214930.3683
320	0.5818717534	214896.704
321	0.5819281439	214882.2126
322	0.581996883	214864.5464
323	0.5820787568	214843.5028
324	0.5822004218	214812.2279
325	0.5822563298	214797.8549
326	0.5823287034	214779.2473
327	0.5823993542	214761.0812
328	0.5824172055	214756.4909
329	0.5824574356	214746.1458
330	0.5825302047	214727.432
331	0.5825609558	214719.5234
332	0.5825990569	214709.7241
333	0.5826548936	214695.3625
334	0.5826722671	214690.8937
335	0.5827945305	214659.4427
336	0.5828365207	214648.6401
337	0.582856995	214643.3726
338	0.582956629	214617.7374
339	0.5829835876	214610.8006
340	0.5829865594	214610.0359
341	0.5830208465	214601.2131
342	0.5830536417	214592.7737
343	0.5831526987	214567.2811
344	0.58320773	214553.1172
345	0.5833051472	214528.0419
346	0.5833201825	214524.1715
347	0.5834261622	214496.8884
348	0.58347307	214484.8115
349	0.583566317	214460.802
350	0.5836368479	214442.6398
351	0.5837171212	214421.9669
352	0.5837549987	214412.2116
353	0.5837583178	214411.3567
354	0.583847387	214388.4151
355	0.5839142747	214371.1853
356	0.583917596	214370.3297
357	0.5839541156	214360.9218
358	0.5839742021	214355.7471
359	0.5840107024	214346.3436
360	0.5840589706	214333.9077
361	0.5840793579	214328.6549
362	0.5841579602	214308.4016
363	0.5842600506	214282.0933
364	0.5843040663	214270.7496
365	0.5843482172	214259.3705
366	0.5843607986	214256.1278
367	0.5843719371	214253.2569
368	0.5844424165	214235.0903
369	0.5844902573	214222.7581
370	0.5845839929	214198.5933
371	0.5846445545	214182.9792
372	0.5846970042	214169.4556
373	0.5847479477	214156.3196
374	0.584777484	214148.7031
375	0.5848123319	214139.7166
376	0.5848393241	214132.7557
377	0.5849332811	214108.5236
378	0.5849668508	214099.8651
379	0.5849975975	214091.9345
380	0.5850674661	214073.9117
381	0.5851164589	214061.2731
382	0.5851652	214048.6986
383	0.5852290649	214032.2213
384	0.5853253262	214007.3832
385	0.5853867849	213991.5237
386	0.5853982893	213988.5548
387	0.5854627048	213971.9308
388	0.5855205084	213957.012
389	0.5855473201	213950.0917
390	0.5856435884	213925.2423
391	0.5857124343	213907.4696
392	0.5858235255	213878.788
393	0.5858406358	213874.3701
394	0.5858648932	213868.1067
395	0.5859063663	213857.3976
396	0.585951259	213845.805
397	0.5860452304	213821.5366
398	0.5860636692	213816.7745
399	0.5861626549	213791.2076
400	0.5862448799	213769.9676
401	0.5862691837	213763.6891
402	0.586348709	213743.1438
403	0.5863981521	213730.3692
404	0.5864306232	213721.9793
405	0.5864746321	213710.6077
406	0.5865761464	213684.3747
407	0.5865966661	213679.0717
408	0.5866419883	213667.3583
409	0.5867150513	213648.4741
410	0.586806133	213624.9304
411	0.5868318026	213618.2946
412	0.5868804192	213605.7262
413	0.5869816582	213579.5515
414	0.5870138286	213571.2334
415	0.587055451	213560.4708
416	0.5870825644	213553.4597
417	0.5871620128	213532.914
418	0.5872192591	213518.1087
419	0.5872791832	213502.6098
420	0.5873206284	213491.8896
421	0.5873769604	213477.3179
422	0.5874220874	213465.644
423	0.5874541634	213457.3459
424	0.58753432	213436.6078
425	0.5876000544	213419.5995
426	0.5876173038	213415.1361
427	0.5876351746	213410.5118
428	0.58768239	213398.2938
429	0.5877356072	213384.5219
430	0.5877886693	213370.7892
431	0.5878507487	213354.7217
432	0.5878812065	213346.8381
433	0.5879844874	213320.103
434	0.5880153824	213312.105
435	0.5880715852	213297.5545
436	0.5881012296	213289.8794
437	0.5881430957	213279.0395
438	0.5881837798	213268.5052
439	0.5882293798	213256.6974
440	0.5882366936	213254.8034
441	0.5882953648	213239.6098
442	0.5883140441	213234.7723
443	0.5883430548	213227.2591
444	0.5883521698	213224.8984
445	0.5884325072	213204.0908
446	0.5884601988	213196.9182
447	0.5886062848	213159.0751
448	0.5886538163	213146.7608
449	0.588683822	213138.9867
450	0.588685772	213138.4814
451	0.5887179421	213130.1462
452	0.588750345	213121.7503
453	0.5887653294	213117.8676
454	0.5887798788	213114.0975
455	0.5888139536	213105.2677
456	0.5888654663	213091.9186
457	0.5888711754	213090.439
458	0.5889121519	213079.8196
459	0.5889667726	213065.6633
460	0.5889853121	213060.8581
461	0.5890061011	213055.4698
462	0.5890076582	213055.0662
463	0.5890179662	213052.3944
464	0.589024155	213050.7902
465	0.5890368688	213047.4948
466	0.5890862095	213034.705
467	0.5891394029	213020.9158
468	0.5891757654	213011.489
469	0.5892458819	212993.3106
470	0.5893037198	212978.3144
471	0.5893414631	212968.5277
472	0.5894064912	212951.6652
473	0.5894743034	212934.0793
474	0.5895211985	212921.917
475	0.5895382522	212917.494
476	0.5895532501	212913.604
477	0.5896455414	212889.6653
478	0.5896714703	212882.9393
479	0.589697944	212876.0717
480	0.5897883904	212852.6074
481	0.5899181251	212818.946
482	0.5899668546	212806.3012
483	0.5900203506	212792.4186
484	0.5900383516	212787.747
485	0.5900912908	212774.0077
486	0.5901125229	212768.497
487	0.5901315017	212763.5711
488	0.5901547541	212757.5359
489	0.5901835019	212750.074
490	0.5902204943	212740.4718
491	0.5902653191	212728.8359
492	0.5903138181	212716.2455
493	0.5903332774	212711.1936
494	0.5903616837	212703.8188
495	0.590412071	212690.7366
496	0.5904347785	212684.8408
497	0.5904396243	212683.5826
498	0.5904425181	212682.8312
499	0.5905236922	212661.7533
500	0.5906008527	212641.7157
501	0.5906194925	212636.8749
502	0.5906421847	212630.9815
503	0.5906588772	212626.6462
504	0.5906779872	212621.683
505	0.5907040787	212614.9062
506	0.5907355129	212606.7416
507	0.5907597857	212600.4369
508	0.5908284676	212582.5959
509	0.5908739709	212570.7751
510	0.5908811982	212568.8976
511	0.5909250007	212557.5179
512	0.5910006845	212537.8541
513	0.5910281059	212530.7292
514	0.5910583839	212522.8618
515	0.5911293585	212504.4186
516	0.5911440566	212500.599
517	0.5911622943	212495.8594
518	0.5911972553	212486.7737
519	0.5912269785	212479.0488
520	0.5912491366	212473.2898
521	0.5912853043	212463.8894
522	0.5913013464	212459.7198
523	0.5913157832	212455.9673
524	0.5913576471	212445.0855
525	0.591372397	212441.2514
526	0.5913851658	212437.9321
527	0.5914515768	212420.668
528	0.5914733535	212415.0066
529	0.5915278042	212400.8502
530	0.5915645444	212391.2978
531	0.5916165259	212377.7818
532	0.5916311798	212373.9715
533	0.5916656321	212365.0127
534	0.5917033043	212355.2163
535	0.5917377998	212346.2455
536	0.5917630261	212339.6851
537	0.5917740074	212336.8292
538	0.5917906904	212332.4903
539	0.5918147865	212326.2233
540	0.5918317771	212321.8043
541	0.591861168	212314.1598
542	0.5918634592	212313.5639
543	0.591892162	212306.0981
544	0.5919050737	212302.7397
545	0.5919299948	212296.2572
546	0.5919950178	212279.3426
547	0.5920235043	212271.9319
548	0.5920614004	212262.0729
549	0.5920711594	212259.534
550	0.5920801771	212257.1878
551	0.5921263074	212245.1858
552	0.5921919979	212228.0934
553	0.5922715068	212207.4037
554	0.5923339749	212191.1469
555	0.5923710726	212181.492
556	0.5923911197	212176.2744
557	0.5924166512	212169.6293
558	0.5924732351	212154.9012
559	0.5925154464	212143.9135
560	0.5925676821	212130.3157
561	0.5926231464	212115.8764
562	0.5926428394	212110.7494
563	0.5926751716	212102.3315
564	0.5927181648	212091.1375
565	0.592752761	212082.1294
566	0.5928131316	212066.4092
567	0.5928301831	212061.9688
568	0.5928464426	212057.7347
569	0.5928876634	212046.9999
570	0.5929059101	212042.2479
571	0.592942898	212032.6147
572	0.5929630675	212027.3616
573	0.5930212046	212012.2191
574	0.593059762	212002.1758
575	0.5930829217	211996.143
576	0.5931028919	211990.9409
577	0.5931177219	211987.0777
578	0.5931526476	211977.9793
579	0.5931874238	211968.9195
